TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,NETRAD,PPFD_IN,VPD,RH,TA,P,TS_1,TS_2,TS_3,TS_4,WTD,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,LW_IN_F,NETRAD_F,PPFD_IN_F,VPD_F,RH_F,PA_F,TA_F,P_F,WTD_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20160905,0.5815621621621623,22.736997500000005,54.91783333333333,49.49756097560977,0.20620476190476195,170.02343333333332,61.03270833333333,316.1056791666667,2.1445382579921284,87.13937500000002,11.513833333333332,0.0,13.472500000000005,13.251250000000004,12.911249999999995,12.58458333333332,0.09185833333333336,0.4455776249999999,1.4008937375000003,1.0967500208333336,0.5452246291666666,298.60221041666665,2.2048895833333333,0.9553047916666668,18.071206250000003,43.77660208333333,61.69170833333334,171.3781875,297.8800416666666,61.03270833333333,316.1071166666666,2.1468333333333334,87.13937500000002,99.52691666666668,11.513833333333332,0.0,0.09185833333333336,2.2049375,42.166723156473324,0.4962788930523778,48.45232686417797,1.0
20160906,-0.4583352941176472,18.62648,41.68014411764706,39.57714285714285,0.2386205882352941,149.75005833333333,49.5640625,275.6372666666667,2.401853291410023,84.87208333333331,9.556979166666666,0.2,12.831041666666666,13.145624999999995,12.85125,12.535833333333327,0.09712291666666667,1.7138202083333332,1.4038819791666668,0.8702641249999999,0.33096375229166664,203.78085416666676,1.76730625,-0.3099370833333335,13.760837916666668,31.63439166666666,30.015375,150.6724375,293.0082499999998,49.5640625,275.63551458333336,2.4044166666666658,84.87208333333331,100.10008333333332,9.556979166666666,0.2,0.09712291666666667,1.7673541666666668,31.89156195042744,-0.06986864248192975,40.557455252661796,1.0
20160907,-0.21553749999999985,-1.5460340425531918,61.15781333333335,30.515909090909094,0.38245625000000016,125.84513958333334,56.02527083333336,242.46054999999993,4.473114103536254,76.67083333333333,16.014999999999993,0.0,12.680416666666664,12.894166666666672,12.753333333333346,12.481458333333347,0.0994,2.0938337499999995,1.8782967729166664,0.7553772083333333,0.4749792754166666,273.95458333333335,3.6870604166666663,-0.21553749999999985,-0.8669062499999969,57.76494791666667,30.569645833333336,127.01402083333336,326.0205000000002,56.02527083333336,242.46133749999996,4.47775,76.67083333333333,99.09435416666668,16.014999999999993,0.0,0.0994,3.6870624999999992,57.66944389976109,-0.21553749999999985,31.68322202323717,1.0
20160908,0.4343285714285716,12.841830232558145,52.463315909090916,75.44358974358975,0.25811914893617016,171.46008958333334,49.62116666666667,320.15193125,3.3429920494351806,80.18791666666667,12.344520833333327,0.0,12.751875000000005,12.819999999999993,12.638333333333335,12.412083333333335,0.10440208333333333,0.8134156249999999,1.6370261020833334,0.9081124999999998,0.3847083425,291.63792500000005,2.690441666666666,0.8236304166666667,10.706500000000004,49.43070833333332,78.05310416666667,173.09064583333335,300.16002083333353,49.62116666666667,320.15281874999994,3.3464791666666667,80.18791666666667,99.49683333333336,12.344520833333327,0.0,0.10440208333333333,2.6904583333333334,48.77166915358137,0.4882641234051899,69.57755292143085,1.0
20160909,-1.8757863636363632,48.47527083333333,62.662157692307694,26.336842105263155,0.185644,168.25619374999994,62.19854166666667,314.25010833333334,2.6563515492616907,85.09583333333333,10.116770833333335,0.2,12.314375000000005,12.709166666666668,12.55979166666667,12.342291666666654,0.10712291666666672,2.1276316279069767,1.4978489333333336,0.8689729508333333,0.34078022604166663,166.50788085106382,0.4957,-0.6411248837209303,25.33343069767443,40.8365465116279,37.95313255813952,169.01360416666662,295.9512291666666,62.19854166666667,314.25036041666664,2.6592708333333333,85.09583333333333,99.9849375,10.116770833333335,0.2,0.10712291666666672,0.5019791666666669,36.146853025208934,-0.4696563008377386,38.152366463156056,3.0
20160910,-9999,-9999,-9999,-9999,-9999,49.93344583333334,16.220520833333325,99.57473958333333,0.7074323774725673,95.925,14.090208333333335,0.0,12.428333333333331,12.534791666666658,12.455624999999996,12.273958333333328,0.1069416666666666,-9999,1.7509201770833334,0.4961956750000001,0.4249134745833332,-9999,-9999,-9999,-9999,-9999,-9999,50.65743750000001,355.945125,16.220520833333325,99.574925,0.708125,95.925,99.698,14.090208333333335,0.0,0.1069416666666666,1.7388124999999997,9.322975514278717,0.29141543016144084,41.023055699538546,3.0
20160911,-9999,-9999,-9999,-9999,-9999,127.29055833333332,52.4161875,246.55930833333343,2.295831638194272,89.73479166666668,14.58429166666667,0.2,12.656041666666667,12.540625,12.366875000000006,12.198124999999996,0.10716250000000004,-9999,1.7879983979166665,0.7997442708333331,0.4455921708333334,-9999,-9999,-9999,-9999,-9999,-9999,128.18072916666662,350.6368958333336,52.4161875,246.55928333333327,2.297895833333333,89.73479166666668,99.58054166666665,14.58429166666667,0.2,0.10716250000000004,2.424125,32.74770112411448,-0.14727818524851286,41.257258382097,3.0
20160912,-9999,-9999,-9999,-9999,-9999,154.59264166666662,42.76839583333332,294.06305624999993,3.7877553620196114,77.294375,12.985625,0.0,12.904375000000007,12.589583333333339,12.324166666666667,12.1375,0.10949374999999996,-9999,1.6783352979166664,0.8349770208333335,0.398747483125,-9999,-9999,-9999,-9999,-9999,-9999,156.2474791666667,293.64785416666666,42.76839583333332,294.06180625,3.7917083333333337,77.294375,99.83964583333336,12.985625,0.0,0.10949374999999996,3.4384375,50.5325127905304,-0.12138310730749365,34.998116506808174,3.0
20160913,-9999,-9999,-9999,-9999,-9999,159.2400875,45.15229166666669,304.87132083333336,3.1427547148527077,82.69416666666667,10.6384375,0.0,12.332291666666665,12.57416666666667,12.312916666666665,12.093333333333335,0.11287500000000003,-9999,1.5289625145833334,0.8554346458333334,0.34977590875000003,-9999,-9999,-9999,-9999,-9999,-9999,160.56731250000004,289.3597708333332,45.15229166666669,304.8713625000001,3.146020833333333,82.69416666666667,100.35808333333335,10.6384375,0.0,0.11287500000000003,1.9767916666666665,49.19230639623101,-0.13870312943266025,34.726742805464625,3.0
20160914,-9999,-9999,-9999,-9999,-9999,164.23562499999994,45.3260416666667,311.3263166666666,2.5528815172022723,85.51041666666667,9.495229166666666,0.0,11.775624999999998,12.34729166666667,12.253125000000004,12.053541666666666,0.11414166666666667,-9999,1.4568629083333329,0.8701368749999999,0.3259751514583333,-9999,-9999,-9999,-9999,-9999,-9999,165.27016666666663,282.06579166666666,45.3260416666667,311.32645625,2.555625,85.51041666666667,100.56702083333336,9.495229166666666,0.0,0.11414166666666667,1.0884791666666669,45.61712381580446,-0.1548736207055316,36.539040705097605,3.0
