TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,NETRAD,PPFD_IN,VPD,RH,PA,TA,P,TS_1,TS_3,WTD,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,LW_IN_F,NETRAD_F,PPFD_IN_F,VPD_F,RH_F,PA_F,TA_F,P_F,WTD_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20120423,-1.5273329999999998,35.650629032258074,64.52244,70.49035714285714,0.2098708276595745,176.47759672340425,69.31029787234046,377.2955585106383,2.9065900904761914,78.14753191489363,100.27019148936171,8.168793617021278,0.26,-9999,9.239197872340425,-0.32916999999999985,1.086514833333333,0.5898022083333332,0.5988376458333332,0.4345898333333334,160.66765319148936,1.9979414468085104,-0.4967116145833334,20.413845000000002,49.17533333333333,69.78635416666667,164.22745833333337,273.09543750000006,66.87739583333335,369.59056083333337,2.7628124999999994,78.18572916666666,100.27314583333332,8.182270833333334,0.26,-0.32904999999999984,1.9855625,47.388190664394074,-0.6429257338250431,65.8622598853334,1.0
20120424,-2.743429714615385,8.149027941176469,58.92690322580646,84.70875,0.25790423617021285,120.4018574468085,47.474917021276596,262.22734468085105,4.185227581395349,66.79646808510638,99.80080638297872,11.226946382978722,3.3,-9999,9.345874468085103,-0.3297917021276596,1.844885,0.6954791666666665,0.4564733125,0.6548849041666667,109.16952765957446,2.575236085106383,-1.14940342875,3.443846875,49.49352083333333,78.68739583333333,117.89347916666668,302.02824999999973,45.48354375,256.91740125,4.862312500000002,67.07729166666665,99.8075625,11.18035416666667,3.3,-0.32965625000000004,2.5572916666666665,51.71964991373569,-1.230262142727062,86.38181938441599,1.0
20120425,0.18711403333333335,45.82529871428571,59.03803666666666,87.76793749999999,0.2653133957446808,207.23403502127655,97.60163191489359,407.6446344680852,3.41493715,80.1503829787234,99.93068936170215,10.42765829787234,1.22,-9999,9.390372340425529,-0.33052106382978724,0.2067032500000001,0.6859443749999999,0.7541970770833334,0.5867823770833334,204.04326808510643,2.257599361702128,0.4792393958333331,31.851434479166656,48.57923125000002,85.56927083333333,208.3101875,305.47575000000006,94.58074375,399.30387,2.6804166666666664,80.15818750000003,99.9234166666667,10.403479166666667,1.22,-0.3303660416666667,2.226187499999999,47.96872873767455,0.30880822567072325,86.77727593100141,1.0
20120426,0.27597243243243225,-7.4143441860465105,36.746780487804884,52.77272222222224,0.2742088936170213,74.49171736170211,17.59228723404255,151.54273404255315,4.997658695652174,62.16372340425532,100.37042553191488,13.298585106382976,0.06,-9999,9.485893617021276,-0.3295831914893617,0.6268987291666664,0.8144309375,0.23059556041666665,0.3852972833333333,176.39072340425528,2.6997834042553186,0.18752815416666652,-7.586753124999998,37.1173125,56.562979166666686,72.93985416666666,335.757375,16.20261458333333,148.53866208333332,5.780916666666666,62.56275,100.3675208333333,13.216249999999995,0.06,-0.32944125,2.7027291666666664,38.4981398899639,0.3614324296677047,67.29588261708543,1.0
20120427,-0.4283735,26.531693548387107,66.06596875000001,62.52181250000001,0.23704551276595745,169.42080489361703,100.61487659574469,371.29425957446813,5.788893404255317,58.41346808510638,101.33736170212771,14.532623404255315,0.0,-9999,9.641078723404254,-0.32864574468085106,1.0643220625,1.0588632916666672,0.4984884583333333,0.3162226666666667,195.91772340425538,2.112329914893618,-0.005458437499999957,12.885335416666672,54.352,61.71547916666666,168.20891666666668,330.9831250000001,97.49065,363.712594375,6.937708333333332,58.92243750000001,101.32843750000002,14.424291666666665,0.0,-0.328521875,2.1248541666666667,60.95484365170692,0.16628143511181878,80.03208419948331,1.0
20120428,-1.9639729310344816,44.044746451612895,55.096551724137925,126.33296666666666,0.2371861106382979,193.23883246808515,105.02204255319151,433.69069765957437,2.5277201707317074,84.31414893617021,101.61510638297871,10.438300425531915,1.87,-9999,9.788538297872345,-0.3276042553191491,2.0674676666666665,1.4315379375,0.60978128125,0.3433224083333333,83.81264255319147,2.2132577340425543,-0.6359309374999997,26.769846041666657,46.25329166666666,113.18410416666666,189.21304166666675,328.37218749999994,101.83227083333333,424.8104256249998,2.0835000000000004,84.28070833333334,101.618625,10.418374999999996,1.87,-0.32750312500000023,2.187770833333333,47.55365062536157,-0.9258845916145008,113.02249672042879,1.0
20120429,-0.11730547499999992,33.59526249999999,49.64823809523808,147.5209523809523,0.3847798595744681,181.4420855319149,93.38329361702135,375.85495170212766,1.84054874893617,78.4418936170213,100.98461702127656,11.182980851063832,0.0,-9999,10.009625531914901,-0.325,1.8946293729166668,2.130634208333334,0.6667011500000001,0.4496842479166667,70.16144042553192,3.7915950638297873,0.23600377083333315,28.022214583333326,47.35681249999998,141.64045833333327,177.66204166666668,328.4361874999999,90.45216250000004,368.1826639583333,2.992604166666665,78.53327083333333,100.99022916666668,11.146479166666666,0.0,-0.324938125,3.7780625,47.571352247533724,0.03530557005061951,139.8945686322093,1.0
20120430,-2.5603814,72.60336899999999,51.96459333333333,98.98119999999996,0.16766725319148934,257.4586239574469,134.43590638297877,556.3514902127658,1.014361821276596,87.29787234042557,101.71748936170209,8.305673404255318,0.0,-9999,10.273297872340423,-0.3214582978723404,2.941731875,2.364876791666666,0.8661756479166667,0.4393550312499998,173.82437617021276,1.2463318085106387,-0.5768534791666665,45.45023487500001,42.82557916666668,101.34133333333332,252.0949166666668,309.92175,130.67882500000005,544.91855125,1.4445833333333338,87.18181250000002,101.70064583333333,8.330354166666668,0.0,-0.3214399999999999,1.2601250000000002,42.48047248967437,-1.1199267650288556,89.66033967319125,1.0
20120501,-0.15398658536585355,41.85161630769232,92.63845238095242,138.73257142857145,0.39857425744680863,268.7352329787235,157.74141276595742,585.9790836170213,5.434987214893618,62.91136170212766,101.83636170212765,11.984401063829784,0.0,-9999,10.468110638297873,-0.31854170212765964,3.0091395833333348,3.1717583541666667,0.9375027291666668,0.6674564708333334,68.41301489361702,4.0852792553191515,0.16263020833333328,33.69364220833334,84.634375,134.52120833333333,263.1365833333334,308.6728750000001,153.5624666666666,573.9311797916666,5.613499999999998,63.28439583333334,101.83722916666666,11.934291666666665,0.0,-0.318545625,4.0455,84.60194904947268,-0.0240707196881988,130.88659654076886,1.0
20120502,-0.5538527948717947,47.5954523076923,65.22294871794874,128.40043589743587,0.24990255319148935,284.8700497872341,158.82005319148936,613.2076634042555,4.5094842553191485,75.8078085106383,101.61851063829788,9.346812127659575,0.0,-9999,10.677491489361703,-0.3165623404255318,2.8079633333333334,2.7263068333333345,1.0244651041666666,0.6222088458333334,58.159002127659576,2.4077889999999997,-0.08166372916666663,38.839122291666655,58.01039583333335,123.88222916666665,278.93527083333333,304.72349999999983,154.63009375,600.5947222916667,2.8732500000000005,75.90627083333331,101.62206250000004,9.353666666666667,0.0,-0.31660145833333314,2.4241041666666665,58.69119738055225,-0.3083502697364172,119.40394994809887,1.0
