TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,VPD,RH,PA,TA,P,D_SNOW,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,TS_7,TS_8,G,WTD,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,LW_OUT_F,VPD_F,RH_F,PA_F,TA_F,P_F,D_SNOW_F,G_F,WTD_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20160722,-2.1439593333333327,36.09511249999999,90.53356888888888,97.72058823529409,0.1657148888888889,259.9062048333334,56.55977750000002,334.54347291666664,398.3310416666668,8.329053111111111,59.21322916666667,97.1125777777778,15.215427430555561,0.4,-9999,17.046754166666666,16.998695833333336,16.992583333333332,16.885364583333338,15.801291666666666,14.385437500000002,12.039812500000005,7.318597916666667,2.759337916666666,-0.2059304166666667,3.7881844375,2.8415708333333325,2.972178520833332,1.5867895833333332,1.0676302222222218,-0.9466172916666666,28.79348125,71.0714495833333,98.00274625,260.4982291666667,56.55977750000002,334.5435000000001,398.3310416666668,8.012541666666667,59.21322916666667,97.11954166666668,15.21545833333333,0.4,-9999,2.759337916666666,-0.2059304166666667,1.116708333333333,69.81478425746104,-1.0685465765221736,98.33332940007222,1.0
20160723,-1.04310625,17.152932500000002,38.219194736842105,81.25781249999997,0.17984200000000006,122.91434602916672,25.62257606250001,363.70532291666666,388.6458333333335,4.4122499999999985,75.0495625,97.279825,13.453753472222216,2.4000000000000004,-9999,14.985354166666662,15.2518125,15.663624999999998,15.729979166666668,15.561395833333336,14.393958333333336,12.0084375,7.3972895833333325,1.6216261041666666,-0.2109125,2.6566590625,2.8828750000000007,2.014151666666667,1.5463708333333337,1.3463999999999998,0.22621458333333325,12.191770833333335,31.07159645833333,86.46840791666666,123.17970833333332,25.62257606250001,363.7053125,388.6458333333335,4.075125,75.0495625,97.2586875,13.453749999999998,2.4000000000000004,-9999,1.6216261041666666,-0.2109125,1.3452083333333331,30.788030251950193,-0.16151396294010048,86.63011131628241,1.0
20160724,-0.928135,19.745509090909085,29.052736153846148,80.35333333333334,0.18488133333333331,88.37109837708336,18.28464020833333,355.2337333333333,375.8316666666667,2.114209333333333,89.06214583333336,97.48913333333331,11.234427777777775,6.299999999999998,-9999,12.139579166666673,12.3713125,13.041999999999994,13.443827083333336,14.4888125,14.318145833333334,12.058791666666664,7.564062499999999,-0.683695791666667,-0.18838791666666665,2.329106458333333,2.8708041666666664,1.8888654604166664,1.5029562500000002,1.2826126666666666,0.5416957916666668,6.121187499999998,20.97746,86.96976375000001,88.59825000000002,18.28464020833333,355.2337291666667,375.8316666666667,1.4873541666666668,89.06214583333336,97.177625,11.23452083333333,6.299999999999998,-9999,-0.683695791666667,-0.18838791666666665,1.382479166666667,16.786881405768018,0.02898174797415988,91.60215017143707,1.0
20160725,-2.790918620689656,33.499353125000006,98.10746562499996,63.49310344827588,0.1765920588235294,242.8832252229168,52.44276981249999,342.44968541666657,397.72666666666674,11.862320588235296,62.86785416666666,97.62191176470587,15.983952777777779,0.0,-9999,16.592859574468086,16.48993191489362,16.394347916666668,16.15523125,14.846041666666665,13.925875,12.000208333333337,7.566139583333332,2.3966927083333327,-0.192690625,4.337957916666666,3.3717666666666664,3.3831587833333336,1.9669208333333341,1.2480126470588235,-0.9661952083333336,19.07364375,67.19509166666664,77.31937500000002,243.08227083333333,52.44276981249999,342.4496875,397.72666666666674,8.564770833333334,62.86785416666666,97.69110416666666,15.98397916666667,0.0,-9999,2.3966927083333327,-0.192690625,1.1766458333333334,66.24888673024333,-0.9517696324062696,76.1502637011791,1.0
20160726,-1.1196548717948722,22.263420454545454,75.31008681818176,93.78743589743591,0.22872208333333324,236.59405915041668,51.93213729166667,338.65453958333336,398.20229166666667,8.252700000000003,58.63010416666666,97.82585416666666,16.56437083333334,0.2,-9999,16.882512499999994,16.654654166666663,16.400889583333335,16.285631249999998,15.547874999999998,13.968270833333333,11.983375000000002,7.651224999999998,2.611205,-0.20159854166666671,4.380984791666667,3.5375375,3.57660695,2.499997916666666,1.6767043750000006,-0.8434493750000001,19.654725000000006,68.89898249999996,94.664188125,237.13902083333332,51.93213729166667,338.6546041666666,398.20229166666667,8.2581875,58.63010416666666,97.82585416666666,16.56435416666667,0.2,-9999,2.611205,-0.20159854166666671,1.6767499999999995,69.12356501056105,-0.8828133483235416,94.39685316540044,1.0
20160727,-1.7158615625,34.47495428571428,79.76851702702703,71.04193548387096,0.14508173913043484,248.89399356458335,53.165651666666676,353.5513208333332,408.0333333333333,9.283047826086957,63.31581249999999,98.34973913043476,17.414845138888897,0.7999999999999999,-9999,18.569172340425528,18.620714893617023,18.237565217391296,18.348895833333344,16.233291666666666,14.038375000000002,11.968749999999998,7.730358333333335,5.020373229166666,-0.2077325,3.8124449375,3.719433333333333,3.5501078125000007,2.778822916666668,1.0181356521739129,-0.09301604166666656,20.823208333333334,61.86523083333333,81.39060916666666,249.16195833333336,53.165651666666676,353.5513541666667,408.0333333333333,8.905208333333334,63.31581249999999,98.35304166666664,17.414937499999994,0.7999999999999999,-9999,5.020373229166666,-0.2077325,1.0156041666666664,62.11320439696679,-0.3522340494357317,81.16482296997798,1.0
20160728,-1.3067730555555557,18.182500000000005,111.77416749999998,-9999,0.17102125,264.14917594375,57.94126479166666,352.75497708333336,413.10645833333336,14.324864583333335,50.33460416666665,97.84272916666669,20.902079861111115,0.0,-9999,20.112679166666666,19.78338125,18.924067391304348,18.57825208333333,16.65304166666667,14.183083333333334,11.916833333333335,7.721395833333332,4.902317291666666,-0.21416333333333332,4.290201041666666,4.0301833333333335,3.639136375,2.8261604166666667,1.3137933333333336,-0.2600172916666668,11.151114583333335,93.68481749999997,91.27481749999998,264.3384375,57.94126479166666,352.7549375000001,413.10645833333336,14.347125,50.33460416666665,97.84272916666669,20.902166666666673,0.0,-9999,4.902317291666666,-0.21416333333333332,1.3137916666666662,94.02856341425324,-0.3688112851608101,94.66242988933506,1.0
20160729,-1.2721753658536583,6.7764,124.98265930232556,-9999,0.25728395833333323,286.16035357083337,64.50040458333332,334.08833125000007,407.87729166666674,15.355056249999995,41.85289583333333,97.24562500000002,20.469218750000007,0.0,-9999,19.710395833333333,19.366779166666664,18.535020833333334,18.124062500000004,16.7183125,14.3789375,11.969229166666667,7.8209625,4.277432291666667,-0.22119312500000007,4.587930208333334,3.85033125,3.752606416666667,2.9021020833333337,1.9824039583333333,-0.7375958333333333,5.963875000000002,112.25046395833333,88.75782395833332,286.7966666666667,64.50040458333332,334.0883750000001,407.87729166666674,15.451979166666662,41.85289583333333,97.24562500000002,20.46914583333334,0.0,-9999,4.277432291666667,-0.22119312500000007,1.9824375,112.50095105471041,-0.7989972141639221,97.63811523515074,1.0
20160730,-2.7317192307692304,40.47108387096776,85.26463000000001,96.85333333333332,0.24083617647058825,223.31347858124997,50.39090166666667,346.10097708333336,397.3285416666668,6.641561764705881,72.82020833333334,97.36638235294114,16.08559618055555,7.9,-9999,15.825131111111107,15.63996136363636,15.739342222222223,16.178,15.80708333333333,14.3869375,11.970979166666671,7.860272916666666,1.8993818750000004,-0.22380604166666665,4.263802291666667,3.3598291666666666,4.0013148749999985,2.9140979166666674,1.6929614705882354,-0.9039772916666664,22.8380375,58.93728416666668,92.40525520833336,223.7813333333333,50.39090166666667,346.10100000000006,397.3285416666668,5.6791875,72.82020833333334,97.39862499999998,16.085666666666665,7.9,-9999,1.8993818750000004,-0.22380604166666665,1.6345833333333328,57.49154602625615,-1.0774734115253082,96.2443201461983,1.0
20160731,-2.7391862499999995,44.39701666666667,125.714532,80.82749999999999,0.1669313333333333,259.37138985537496,56.55062541666666,355.6250708333334,413.3395833333332,15.497500000000004,61.91208333333332,97.49396666666668,18.653951388888892,0.0,-9999,19.221002083333328,19.003000000000004,18.568139583333334,18.308791666666668,16.618395833333334,14.3885,12.047895833333332,7.940222916666667,4.602542499999998,-0.20755250000000006,4.006606729166667,3.4019625,4.2613115000000015,3.421829166666667,0.7926880000000002,-0.6046406250000002,18.65421458333333,72.53664145833334,85.26344854166669,259.5366458333334,56.55062541666666,355.6250625,413.3395833333332,10.303124999999998,61.91208333333332,97.57729166666668,18.65404166666666,0.0,-9999,4.602542499999998,-0.20755250000000006,1.0094791666666667,71.70654463026531,-0.7531949734324538,88.81048321359852,1.0
