TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,VPD,RH,PA,TA,P,D_SNOW,TS_1,TS_2,G_1,G_2,SWC_1,SWC_2,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,NETRAD_F,PPFD_IN_F,PPFD_OUT_F,VPD_F,RH_F,PA_F,TA_F,P_F,D_SNOW_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20160219,0.7685075675675676,-41.911019148936184,6.649504583333332,-9999,0.16926999999999995,36.02325000000001,28.70300000000001,-9999,-9999,-63.42854166666668,64.40853312499999,65.72233243958333,1.32711875,33.616875,89.30416666666667,-14.398125,0.0,32.55833333333333,-7.452125000000001,-7.505166666666668,-5.3332291666666665,-3.8498125,-9999,-9999,-0.17425368750000006,0.5683340458333335,0.01712834,0.35760520833333337,122.27083333333336,4.759104166666666,0.7425875,-41.86566458333335,6.649504583333332,-9999,36.02325000000001,28.70300000000001,152.9311666666665,-63.42854166666668,64.40853312499999,65.72233243958333,1.327229166666667,33.616875,89.30416666666667,-14.398125,0.0,32.55833333333333,4.759104166666666,6.649504583333332,0.7441866071846824,-5.995289379230883,3.0
20160220,0.6334403030303032,-43.50199999999999,15.839202857142864,-9999,0.2188075675675676,45.260394736842095,37.148263157894725,-9999,-9999,-38.089552631578954,86.66634829210525,88.24384688421056,1.77081052631579,34.942894736842106,89.05526315789473,-10.757657894736841,0.0,32.686842105263146,-7.668368421052628,-7.71307894736842,-5.0130921052631585,-3.6921052631578943,-9999,-9999,0.22454725416666665,0.8027356791666668,0.017023932291666672,0.5969218749999998,123.45473684210528,4.941763157894738,0.578186666666667,-37.19220833333331,13.179189583333335,-9999,35.83114583333333,29.722261249999992,185.03727083333328,-34.31660416666664,69.39769239791663,70.65967045,1.6293125,42.53991666666665,89.117125,-10.6055625,0.0,32.73080375000001,4.5269375,12.016605190626779,0.6302309132447901,-5.399159858645191,3.0
20160221,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.20739829166666668,0.7352121333333335,0.005805191458333333,0.5184102083333334,-9999,-9999,0.5278122916666667,-27.24489583333333,5.5841458333333325,-9999,12.052645833333335,8.348405624999996,224.54539583333332,-34.242916666666666,17.41572083333333,19.582883333333328,1.2527708333333336,63.43770833333333,89.34489583333333,-11.97691666666667,0.0,32.89960458333333,3.3024374999999995,1.1140109776252587,0.5955443271594701,-4.383783783412801,3.0
20160222,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.2837789791666667,0.7354562583333332,0.007976016666666667,0.6272810416666666,-9999,-9999,0.4516772916666666,-24.60013958333333,7.07709375,-9999,16.601229166666666,13.859121666666667,243.34979166666656,-23.36252708333333,30.98275625000001,33.805062500000005,0.8726666666666669,68.31987499999998,89.58564583333332,-10.368375000000002,0.526,32.81961020833334,3.754020833333333,1.0862229265914356,0.5770312041325638,-4.809651433794392,3.0
20160223,0.7354025,-43.904,-1.0616100000000002,-9999,0.19300799999999999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.050442583333333325,0.6060577770833332,0.01026879375,0.5214935416666666,-9999,-9999,0.5556154166666667,-37.322499999999984,6.410269791666665,-9999,21.41375,19.227051041666673,224.73164583333323,-48.014354166666664,41.01232916666667,45.09819791666666,0.6024166666666667,52.80929166666667,90.32383333333335,-12.031020833333335,0.07,32.84912666666667,3.0714791666666663,0.397434489763976,0.602545095896438,-5.148890173700375,3.0
20160224,0.6226688636363636,-35.06655555555556,7.037377368421053,-9999,0.2273237777777778,48.34644444444446,38.904388888888896,-9999,-9999,-33.47722222222223,94.89420819444445,97.60654961111112,1.3691722222222225,65.33944444444444,89.28333333333332,-5.90888888888889,0.0,30.77222222222223,-6.2734999999999985,-6.530722222222222,-2.0250555555555554,-1.3951666666666669,-9999,-9999,-0.0019182416666666878,0.6267577062499999,0.014881661104166666,0.752763125,142.21666666666667,5.061166666666666,0.6286760416666667,-35.49193750000001,6.266086666666666,-9999,31.211416666666675,25.965236666666673,214.96208333333337,-41.198791666666686,57.70604682291666,65.1263248541667,1.1615208333333331,61.16475000000001,89.52700000000006,-9.271208333333336,0.055999999999999994,31.82753791666667,3.8762499999999993,5.938698106577783,0.6177961500968892,-5.470905923290941,3.0
20160225,0.26863285714285706,-25.674397619047607,3.9637582500000006,-9999,0.1819781250000001,27.78270833333333,22.73810416666667,-9999,-9999,-35.326333333333345,58.98503552645832,55.99782727916667,1.9415375,59.83979166666666,89.20416666666664,-3.388208333333333,0.0,30.581250000000008,-6.400895833333332,-6.659499999999999,-1.56609375,-1.1106249999999995,-9999,-9999,0.3872557916666668,0.7166017291666665,0.013304583333333331,1.2786743749999998,126.794375,3.8570833333333336,0.329344375,-25.993931249999992,3.709146666666668,-9999,27.78270833333333,22.73810416666667,226.82808333333332,-35.326333333333345,58.98503552645832,55.99782727916667,1.9415416666666667,59.83979166666666,89.20416666666664,-3.388208333333333,0.0,30.581250000000008,3.8570833333333336,4.249900271425535,0.3337086657183072,-5.765574449764539,3.0
20160226,0.29312076923076924,-26.12335405405405,-1.9527347727272728,-9999,0.11975979166666667,42.640770833333335,33.269375000000004,-9999,-9999,-33.34664583333333,82.34479948958334,81.58317943541667,1.3518385416666667,68.77145833333334,89.43750000000001,-4.785125000000002,0.0,30.512500000000006,-6.212875,-6.4898541666666665,-1.0745833333333332,-0.7431562500000001,-9999,-9999,0.21948955604166664,0.6169441333333335,0.020305574833333336,1.1532627083333329,125.44937500000003,3.125208333333333,0.3974564583333333,-26.78833541666667,-1.5942047916666662,-9999,42.640770833333335,33.269375000000004,230.33983333333333,-33.34664583333333,82.34479948958334,81.58317943541667,1.3518333333333334,68.77145833333334,89.43750000000001,-4.785125000000002,0.0,30.512500000000006,3.125208333333333,-1.4205417586237103,0.3780668839797559,-6.265177556627642,3.0
20160227,0.6639212499999999,-40.15408510638298,2.0501060869565224,-9999,0.17682583333333338,53.5164375,41.051229166666666,-9999,-9999,-54.07041666666667,100.3667990125,103.35359584166666,1.5327208333333335,60.990000000000016,89.37500000000004,-5.984124999999998,0.0,30.62291666666667,-6.191229166666668,-6.417333333333333,-1.685458333333333,-1.1579583333333332,-9999,-9999,-0.04981053208333331,0.6141121770833333,0.025379328541666676,1.0500527083333338,135.64375,5.201208333333335,0.6639212499999999,-40.10345833333333,2.045618333333334,-9999,53.5164375,41.051229166666666,198.7215625,-54.07041666666667,100.3667990125,103.35359584166666,1.5327916666666663,60.990000000000016,89.37500000000004,-5.984124999999998,0.0,30.62291666666667,5.201208333333335,2.0592145284026206,0.6639212499999999,-5.532735306216519,3.0
20160228,0.7271636842105265,-44.20509090909092,4.003138372093023,-9999,0.18043374999999992,56.66604166666666,43.20545833333333,-9999,-9999,-52.75166666666667,104.53189707083335,107.28818713541668,1.8118833333333333,57.18208333333333,88.99166666666672,-5.016354166666666,0.0,30.6125,-6.195666666666668,-6.384208333333333,-1.8774583333333328,-1.3065208333333336,-9999,-9999,0.033925746458333336,0.7248373374999999,0.026867025625,1.1604458333333332,118.71666666666664,4.9513124999999985,0.6909114583333335,-43.40316666666667,3.721932083333333,-9999,56.66604166666666,43.20545833333333,185.040125,-52.75166666666667,104.53189707083335,107.28818713541668,1.811895833333333,57.18208333333333,88.99166666666672,-5.016354166666666,0.0,30.6125,4.9513124999999985,3.8602253723016187,0.6809531482533662,-4.750174555573719,3.0
20160229,0.5032609090909091,-18.650440303030305,3.014335333333334,-9999,0.11749351351351353,50.542707317073145,33.68141666666668,-9999,-9999,-19.98868292682927,103.71874731707315,86.04035090208332,1.4391291666666668,68.27145833333334,89.64999999999998,-4.164854166666668,0.0,30.660416666666666,-6.143895833333335,-6.339187500000001,-1.4862812499999996,-1.0327604166666666,-9999,-9999,0.3685784958333334,0.8809805625000003,0.020576995833333337,1.2633208333333332,186.875,2.5245,0.5124014583333332,-22.70774020833333,2.5797839583333344,-9999,43.17189583333332,33.68141666666668,209.96552083333327,-24.27810416666667,88.97368208333332,86.04035090208332,1.4391458333333331,68.27145833333334,89.64999999999998,-4.164854166666668,0.0,30.660416666666666,2.5245,2.9924184043498943,0.4935311704454354,-5.106110306387254,3.0
20160301,-9999,-9999,-9999,-9999,-9999,-9999,39.161020833333346,-9999,-9999,-9999,-9999,96.50911357291665,0.2323014583333334,94.13124999999997,90.38750000000006,-6.09575,0.254,32.96875000000001,-5.896583333333332,-6.128625,-0.5981979166666666,-0.41820833333333335,-9999,-9999,0.4556862499999999,0.93492193125,0.011038607708333335,1.0813039583333337,173.46500000000003,0.5768125000000002,0.4792354166666668,-34.60274999999999,1.6202529166666666,-9999,22.990854166666665,39.161020833333346,251.9049166666668,-46.52560416666668,41.065631122916656,96.50911357291665,0.2322916666666667,94.13124999999997,90.38750000000006,-6.09575,0.254,32.96875000000001,0.5768125000000002,1.5460015778819471,0.5031928646253729,-4.3973705010101565,3.0
20160302,-9999,-9999,-9999,-9999,-9999,19.52408695652174,51.93564583333333,-9999,-9999,3.379782608695652,44.21761765217392,130.11445647291666,0.250051875,90.9625,90.41666666666669,-10.379729166666667,0.0,33.49772727272727,-5.851770833333332,-6.0902916666666655,-0.5430729166666667,-0.3670729166666667,-9999,-9999,0.1193920625,0.8623132458333335,0.016317542916666664,0.7101435416666666,132.869375,0.8974791666666667,0.742920625,-45.52793749999999,10.000160208333334,-9999,34.17997916666666,51.93564583333333,206.43599999999992,-15.84019375,67.09121591770833,130.11445647291666,0.2500625,90.9625,90.41666666666669,-10.379729166666667,0.0,33.61182437499999,0.8974791666666667,0.4878946001074762,0.5432515809985221,-4.27473693772806,3.0
