TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,NETRAD,PPFD_IN,VPD,RH,PA,TA,P,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,TS_7,TS_8,WTD,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,LW_IN_F,NETRAD_F,PPFD_IN_F,VPD_F,RH_F,PA_F,TA_F,P_F,WTD_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20180412,-0.6884543333333335,33.09830217391305,118.65616521739128,-3.5035788260869563,0.2910201666666667,-9999,181.8974166666667,-9999,4.843825229166668,65.23395833333333,102.40129979166666,11.732291666666667,0.0,-9999,-9999,-9999,11.975554166666667,11.926225000000002,11.495521249999998,10.711875,9.711995833333333,0.014200125000000003,1.8078193595833332,0.9302530833333336,274.63732614583336,4.915454020833335,-0.6597342708333336,31.450206250000004,114.96286666666664,-3.3830090833333326,281.61635416666667,279.71925,181.8974166666667,-9999,4.8488541666666665,65.23395833333333,102.40127083333331,11.732291666666667,0.0,0.014200125000000003,4.915499999999999,115.06717884009615,-0.6663036274875181,-3.3938608804713466,1.0
20180413,-1.2607779999999995,47.29501166666667,133.19949583333334,-3.2526963888888885,0.22027460416666667,-9999,182.0149375000001,-9999,4.812765395833334,69.67499999999998,102.746028,12.731520833333331,0.0,-9999,-9999,-9999,12.125754166666667,12.20884375,12.016687499999998,12.0165094375,11.231121458333336,-0.0007173749999999996,1.8667904989583333,1.0045038958333332,202.16173233333336,3.5488789375,-0.7403529166666666,34.26143583333334,106.07470729166668,-2.4451557708333334,324.15631250000007,277.7705624999999,182.0149375000001,-9999,4.817729166666666,69.67499999999998,102.74602083333332,12.731520833333331,0.0,-0.0007173749999999996,3.548875,104.48262103320965,-0.8336082617088321,-2.612425563834754,1.0
20180414,-0.2869388888888888,42.01775289473685,115.04913421052632,-1.260516756756757,0.2070091041666667,-9999,194.2480453191489,-9999,4.507053021276595,74.57170212765958,102.26886052083334,14.50872340425532,0.0,-9999,-9999,-9999,14.157708510638304,14.29259574468085,14.199404042553196,14.761912765957446,15.641240425531912,0.042005361702127667,1.848947575208334,1.0943573541666662,197.82971372916668,3.3350295625000004,-0.16020666666666664,33.607191875000005,99.70650208333332,-1.098100875,322.8717916666667,302.878,188.59521104166663,-9999,4.505354166666668,74.65077083333334,102.2688541666667,14.496354166666665,0.0,0.041627625000000015,3.3349791666666664,97.61695966396395,-0.2483317255849259,-1.1423947487086787,1.0
20180415,-0.6643153157894734,31.43460952380952,115.6707894736842,-2.523519032258065,0.2705728958333333,-9999,168.43857291666663,-9999,3.787947458333333,75.43333333333331,101.43375391666667,13.115625,0.0,-9999,-9999,-9999,12.41766875,12.324218749999998,12.017791458333335,11.473256250000004,12.169785416666667,0.09193175,1.7001563679166674,1.0939882708333335,250.7708421875,4.615958895833335,-0.4544283958333332,27.25181458333333,99.89762499999996,-2.337742083333334,280.80883333333327,308.1908124999998,168.43857291666663,-9999,3.792041666666666,75.43333333333331,101.43383333333334,13.115625,0.0,0.09193175,4.6159374999999985,98.78919969414127,-0.5317000242575685,-2.195950602473179,1.0
20180416,-0.4951352666666667,23.08656775,92.38846666666667,-1.096241212121212,0.266888125,-9999,107.78853958333332,-9999,3.4211513125,73.39937499999998,101.62925993749997,10.411874999999998,3.6,-9999,-9999,-9999,9.719539583333333,9.4087,9.049368333333332,7.573662500000001,6.477695895833332,0.11888570833333338,1.4280279579166668,1.0705104791666666,236.7476261458333,4.401857166666667,-0.4472088333333333,18.969379375,78.33808333333336,-1.1737210208333335,178.36791666666664,304.17131249999983,107.78853958333332,-9999,3.4245208333333337,73.39937499999998,101.6293333333333,10.411874999999998,3.6,0.11888570833333338,4.401875,72.0989559222528,-0.5325314629600542,-1.3120257834500484,1.0
20180417,-1.6551039,56.03652727272726,141.01399575757569,-2.502194375,0.18703795833333334,-9999,192.0222333333334,-9999,4.286975270833335,70.376875,102.32047922916662,11.227104166666665,0.0,-9999,-9999,-9999,9.623712500000002,9.664231249999998,9.489069166666663,9.323721458333337,8.936634791666668,0.09563208333333334,1.8734547704166669,1.1552840833333335,201.2484861875,2.8115283958333337,-1.0964066895833335,39.593537708333336,105.84587208333328,-1.367956341666667,331.0057708333334,274.9781250000001,192.0222333333334,-9999,4.291479166666666,70.376875,102.32039583333334,11.227104166666665,0.0,0.09563208333333334,2.811541666666667,104.594081580154,-1.0230879842758691,-1.9361430299867008,1.0
20180418,-0.9376938292682929,21.31087418604651,86.88675116279067,-0.9052381999999998,0.21198739583333331,-9999,114.05613520833332,-9999,4.514612687499999,67.49729166666668,101.75187608333334,11.50125,0.0,-9999,-9999,-9999,10.486260416666667,10.29609375,10.066277708333333,9.251225000000002,8.89294791666667,0.10012183333333334,1.692896274791667,1.2324343333333332,223.29173947916664,3.2885217083333345,-0.7374351458333334,18.741668541666673,80.93592291666666,-0.7603541458333333,222.68720833333333,298.8703749999999,114.05613520833332,-9999,4.519312499999999,67.49729166666668,101.7518125,11.50125,0.0,0.10012183333333334,3.2885624999999994,80.3898809116569,-0.7684243189252674,-0.8680538803263583,1.0
20180419,-2.064478666666667,64.74175142857145,144.40239714285718,-1.8165669600000005,0.23112016666666665,-9999,195.31377916666665,-9999,3.1398742916666667,78.255625,101.79073008333334,11.9255,0.0,-9999,-9999,-9999,10.473183333333333,10.486810416666666,10.368353749999997,10.301722291666666,10.386361666666664,0.10458241666666666,2.1720035872916665,1.3481822083333332,182.80737833333333,3.903809229166667,-1.3994592916666673,47.50332916666668,111.92389375000006,-1.2865782083333333,333.595625,282.166125,195.31377916666665,-9999,3.1431041666666677,78.255625,101.79075,11.9255,0.0,0.10458241666666666,3.9038333333333335,110.4733097779497,-1.386282283012445,-1.6207475217582978,1.0
20180420,-1.5949388571428569,63.784025714285725,136.76564571428574,-5.3520815384615394,0.210767375,-9999,197.15712500000006,-9999,3.3973938541666677,79.16895833333336,102.03956075000004,13.34895833333333,0.0,-9999,-9999,-9999,12.169191666666665,12.227729166666661,12.04395833333333,12.347562499999995,13.20828125,0.07840416666666666,2.317553793125,1.5651802291666663,190.22714941666663,3.4364378333333327,-1.0984570833333331,48.79258541666668,110.33595000000004,-3.3298540625000004,334.18191666666667,293.3709374999998,197.15712500000006,-9999,3.400979166666666,79.16895833333336,102.03958333333335,13.34895833333333,0.0,0.07840416666666666,3.4364166666666667,106.72379766147377,-1.1551232703515235,-3.3709786093985015,1.0
20180421,-1.8042814,56.6798657894737,142.62723694444446,-3.4360018181818184,0.18356277083333336,-9999,195.60831249999993,-9999,4.7010450625,75.37812500000003,101.80486185416667,15.15125,0.0,-9999,-9999,-9999,14.525358333333337,14.713541666666664,14.5520975,15.369383333333333,16.793904166666668,0.061819125,2.2678609322916667,1.7019748333333335,226.3745060625,2.656710958333333,-1.3106405666666665,47.11192708333334,116.85965687499998,-2.90841375,332.3943541666667,309.22318749999994,195.60831249999993,-9999,4.7056458333333335,75.37812500000003,101.80489583333332,15.15125,0.0,0.061819125,2.656708333333333,116.03634028099165,-1.2902265450281591,-2.5470571758549974,1.0
